,sido_name,gugun_name,sido_code,gugun_code,addr,doro_address,s_code,s_name,open_dt,lat,lot,s_biz_code,store_area_code,out_distance,defaultimage
1378,경기,용인시 기흥구,08,0824,경기도 용인시 기흥구 상하동 246-1,경기도 용인시 기흥구 중부대로 771 (상하동),1486,용인상하DT,20190430,37.259778,127.142453,3575,A08,105.32,http://image.istarbucks.co.kr/upload/store/2019/04/[3575]_20190429011105_g326h.jpg
1379,경기,용인시 기흥구,08,0824,경기도 용인시 기흥구 중동 724-7,경기도 용인시 기흥구 동백죽전대로 363 (중동),1617,용인세브란스병원,20200303,37.270835,127.147337,3901,A08,106.07,http://image.istarbucks.co.kr/upload/store/2020/03/[3901]_20200301055258_jct8b.jpg
1380,경기,용인시 수지구,08,0842,경기도 용인시 수지구 성복동 63-1,경기도 용인시 수지구 성복2로 37 (성복동),1818,수지성복역,20210618,37.3127961,127.0802009,4007,A08,101.85,http://image.istarbucks.co.kr/upload/store/2021/06/[4007]_20210617011136_qqxyi.jpg
1381,경기,용인시 수지구,08,0842,"경기도 용인시 수지구 풍덕천동 1078 로얄스포츠센터 111,112,113,206,207호","경기도 용인시 수지구 풍덕천로 119 (풍덕천동) 111,112,113,206,207호",2054,수지구청역,20221028,37.3229644,127.0948689,4195,A08,103.45,http://image.istarbucks.co.kr/upload/store/2022/11/[4195]_20221102112543_0eo2f.jpg
1382,경기,용인시 수지구,08,0842,경기도 용인시 수지구 풍덕천동 1080-11번지 비즈마루빌딩1층 101호,"경기도 용인시 수지구 수지로296번길 51-11, 비즈마루빌딩 1층 101호 (풍덕천동)",501,수지풍덕천,20120410,37.322169,127.0952655,9694,A08,103.46,http://image.istarbucks.co.kr/upload/store/2019/06/[9694]_20190623084002_4j2a7.jpg
1383,경기,용인시 수지구,08,0842,경기도 용인시 수지구 신봉동 909 번지,경기도 용인시 수지구 수지로 203 (신봉동),350,수지이마트,20101118,37.31965,127.083677,9561,A08,102.4,http://image.istarbucks.co.kr/upload/store/2020/04/[9561]_20200405124101_0e6h7.jpg
1384,경기,용인시 수지구,08,0842,경기도 용인시 수지구 죽전동 1285 (주)신세계백화점경기점 3층,경기도 용인시 수지구 포은대로 536 (죽전동) 3층,137,신세계경기,20070320,37.32500393,127.1081332,9398,A08,104.63,http://image.istarbucks.co.kr/upload/store/2022/11/[9398]_20221115105506_le35f.jpg
1385,경기,용인시 수지구,08,0842,경기도 용인시 수지구 죽전동 1282 이마트 죽전점 1층,"경기도 용인시 수지구 포은대로 552, 이마트 죽전점 1층 (죽전동)",241,죽전이마트,20050909,37.3253735,127.1099255,9333,A08,104.8,http://image.istarbucks.co.kr/upload/store/2021/10/[9333]_20211015091350_4n0as.jpg
1386,경기,용인시 수지구,08,0842,경기도 용인시 수지구 상현동 1119-1번지,경기도 용인시 수지구 광교마을로 41 (상현동),651,광교중앙로,20130821,37.29882,127.06947,9841,A08,100.44,http://image.istarbucks.co.kr/upload/store/2015/07/[9841]_20150729210351686.jpg
1387,경기,용인시 수지구,08,0842,"경기도 용인시 수지구 성복동 83-2,76-2,77-2 1~2층",경기도 용인시 수지구 성복2로 55 (성복동),824,수지성복DT,20140826,37.314048,127.079162,3008,A08,101.81,http://image.istarbucks.co.kr/upload/store/2021/04/[3008]_20210423042657_yyqbd.jpg
